,index,long_position_solar,lat_position_solar,value_phov,long_position_topo,lat_position_topo,elevation,long_position,lat_position,value,lat_leftend,lat_rightend,long_leftend,long_rightend,coordinates,Address,esp_or_not
67,711,"(-8.982, -8.893]","(37.465, 37.519]",1699.7273,"(-9.046, -8.954]","(37.037, 37.116]",60.170833333333334,"(-9.036, -8.944]","(37.056, 37.134]",6.166666666666667,37.056,37.134,-9.046,-8.954,"37.056,-9.046",Portugal,0
68,728,"(-8.982, -8.893]","(38.378, 38.431]",1654.82,"(-9.046, -8.954]","(38.367, 38.445]",20.57894736842105,"(-9.036, -8.944]","(38.378, 38.456]",7.0,38.378,38.456,-9.046,-8.954,"38.378,-9.046",Portugal,0
69,729,"(-8.982, -8.893]","(38.431, 38.485]",1626.38,"(-9.046, -8.954]","(38.445, 38.524]",144.56822429906543,"(-9.036, -8.944]","(38.456, 38.534]",6.75,38.456,38.534,-9.046,-8.954,"38.456,-9.046","Coutada Velha, Calhariz, Castelo, Sesimbra, Setúbal, 2970-333, Portugal",0
70,730,"(-8.982, -8.893]","(38.485, 38.539]",1615.3729,"(-9.046, -8.954]","(38.524, 38.602]",66.6470588235294,"(-9.036, -8.944]","(38.534, 38.611]",6.666666666666667,38.534,38.611,-9.046,-8.954,"38.534,-9.046","Azeitão, Setúbal, 2975-666, Portugal",0
71,731,"(-8.982, -8.893]","(38.539, 38.592]",1628.4567,"(-9.046, -8.954]","(38.602, 38.68]",22.435126582278482,"(-9.036, -8.944]","(38.611, 38.689]",6.833333333333333,38.611,38.689,-9.046,-8.954,"38.611,-9.046","Carreira de Tiro da Escola de Fuzileiros, EN 10-3, Palhais, Palhais e Coina, Barreiro, Setúbal, 2830-572, Portugal",0
72,732,"(-8.982, -8.893]","(38.592, 38.646]",1635.4495,"(-9.046, -8.954]","(38.68, 38.758]",6.868,"(-9.036, -8.944]","(38.689, 38.767]",6.5,38.689,38.767,-9.046,-8.954,"38.689,-9.046","Montijo, Montijo e Afonsoeiro, Montijo, Setúbal, 2836 - 908, Portugal",0
73,733,"(-8.982, -8.893]","(38.646, 38.7]",1639.3455,"(-9.046, -8.954]","(38.758, 38.837]",0.2492063492063492,"(-9.036, -8.944]","(38.767, 38.845]",6.083333333333333,38.767,38.845,-9.046,-8.954,"38.767,-9.046","Ponte Vasco da Gama, Samouco, Alcochete, Setúbal, 2980-228, Portugal",0
74,734,"(-8.982, -8.893]","(38.7, 38.753]",1625.2999,"(-9.046, -8.954]","(38.837, 38.915]",2.7416587225929456,"(-9.036, -8.944]","(38.845, 38.922]",6.25,38.845,38.922,-9.046,-8.954,"38.845,-9.046","Vila Franca de Xira, Lisboa, Portugal",0
75,735,"(-8.982, -8.893]","(38.753, 38.807]",1601.7064,"(-9.046, -8.954]","(38.915, 38.993]",75.57383627608347,"(-9.036, -8.944]","(38.922, 39.0]",6.833333333333333,38.922,39.0,-9.046,-8.954,"38.922,-9.046","EN 10-6, A-dos-Melros, Sobralinho, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa, 2615-233, Portugal",0
76,736,"(-8.982, -8.893]","(38.807, 38.861]",1601.7465,"(-9.046, -8.954]","(38.993, 39.071]",73.44522144522145,"(-9.036, -8.944]","(39.0, 39.078]",4.6875,39.0,39.078,-9.046,-8.954,"39.0,-9.046","Arruda dos Vinhos, Lisboa, 2630-328, Portugal",0
77,737,"(-8.982, -8.893]","(38.861, 38.914]",1599.6428,"(-9.046, -8.954]","(39.071, 39.149]",92.05050505050505,"(-9.036, -8.944]","(39.078, 39.156]",5.333333333333333,39.078,39.156,-9.046,-8.954,"39.078,-9.046","EN 9, Espincadeira, Meca, Alenquer, Lisboa, 2580-318, Portugal",0
78,738,"(-8.982, -8.893]","(38.914, 38.968]",1592.3856,"(-9.046, -8.954]","(39.149, 39.228]",161.60331825037707,"(-9.036, -8.944]","(39.156, 39.233]",7.0,39.156,39.233,-9.046,-8.954,"39.156,-9.046","Abrigada e Cabanas de Torres, Alenquer, Lisboa, 2580-097, Portugal",0
79,739,"(-8.982, -8.893]","(38.968, 39.022]",1586.9443,"(-9.046, -8.954]","(39.228, 39.306]",127.70707070707071,"(-9.036, -8.944]","(39.233, 39.311]",6.916666666666667,39.233,39.311,-9.046,-8.954,"39.233,-9.046","Lamas e Cercal, Cadaval, Lisboa, 2550-371, Portugal",0
80,740,"(-8.982, -8.893]","(39.022, 39.075]",1583.3483,"(-9.046, -8.954]","(39.306, 39.384]",143.65501165501166,"(-9.036, -8.944]","(39.311, 39.389]",7.0,39.311,39.389,-9.046,-8.954,"39.311,-9.046","Rua Casais da Portela, Painho, Painho e Figueiros, Cadaval, Lisboa, 2550-403, Portugal",0
81,741,"(-8.982, -8.893]","(39.075, 39.129]",1576.1816,"(-9.046, -8.954]","(39.384, 39.462]",158.07925407925407,"(-9.036, -8.944]","(39.389, 39.467]",7.0,39.389,39.467,-9.046,-8.954,"39.389,-9.046","Alvorninha, Leiria, 2500-749, Portugal",0
82,742,"(-8.982, -8.893]","(39.129, 39.183]",1572.5413,"(-9.046, -8.954]","(39.462, 39.541]",116.97824397824398,"(-9.036, -8.944]","(39.467, 39.544]",6.666666666666667,39.467,39.544,-9.046,-8.954,"39.467,-9.046","Cumeira, Vimeiro, Alcobaça, Leiria, 2460-760, Portugal",0
