,Phov,Elevation,long_bins,lat_bins,Inclination,lat_leftend,lat_rightend,long_leftend,long_rightend,Coordinates,Address,County
97,1616.9618,27.67754467754468,"(-8.852, -8.761]","(38.689, 38.767]",6.777777777777778,38.689,38.767,-8.862,-8.77,"38.689,-8.862","Alcochete, Setúbal, Portugal",Santarém
98,1608.4393,33.02719502719503,"(-8.852, -8.761]","(38.767, 38.845]",7.0,38.767,38.845,-8.862,-8.77,"38.767,-8.862","Samora Correia, Benavente, Santarém, Portugal",Santarém
99,1597.428,19.33670295489891,"(-8.852, -8.761]","(38.845, 38.922]",7.0,38.845,38.922,-8.862,-8.77,"38.845,-8.862","Samora Correia, Benavente, Santarém, Portugal",Lisboa
100,1581.516,11.335664335664337,"(-8.852, -8.761]","(38.922, 39.0]",6.777777777777778,38.922,39.0,-8.862,-8.77,"38.922,-8.862","Samora Correia, Benavente, Santarém, 2135-130, Portugal",Lisboa
101,1580.3466,5.07950116913484,"(-8.852, -8.761]","(39.0, 39.078]",5.5,39.0,39.078,-8.862,-8.77,"39.0,-8.862","Vila Franca de Xira, Lisboa, Portugal",Santarém
102,1585.6333,30.700854700854705,"(-8.852, -8.761]","(39.078, 39.156]",6.333333333333333,39.078,39.156,-8.862,-8.77,"39.078,-8.862","Rua Alberto Noronha, Azambuja, Lisboa, 2050-317, Portugal",Santarém
103,1589.587,72.67194570135747,"(-8.852, -8.761]","(39.156, 39.233]",7.0,39.156,39.233,-8.862,-8.77,"39.156,-8.862","EN 365-2, Pontével, Cartaxo, Santarém, 2050, Portugal",Santarém
104,1592.3462,68.87412587412588,"(-8.852, -8.761]","(39.233, 39.311]",6.666666666666667,39.233,39.311,-8.862,-8.77,"39.233,-8.862","Almoster, Santarém, 2040-536, Portugal",Santarém
105,1585.7828,76.83139083139083,"(-8.852, -8.761]","(39.311, 39.389]",6.333333333333333,39.311,39.389,-8.862,-8.77,"39.311,-8.862","Rua da Nossa Senhora das Virtudes, Casais da Atagueda, São João da Ribeira e Ribeira de São João, Rio Maior, Santarém, 2040-454, Portugal",Santarém
106,1580.1324,159.96658896658897,"(-8.852, -8.761]","(39.389, 39.467]",6.0,39.389,39.467,-8.862,-8.77,"39.389,-8.862","37, Travessa de São Miguel, Fráguas, Rio Maior, Santarém, 2040-152, Portugal",Leiria
107,1580.0273,424.76845376845375,"(-8.852, -8.761]","(39.467, 39.544]",7.0,39.467,39.544,-8.862,-8.77,"39.467,-8.862","Valverde, Alcanede, Santarém, 2480-215, Portugal",Leiria
108,1578.1077,317.0567210567211,"(-8.852, -8.761]","(39.544, 39.622]",7.0,39.544,39.622,-8.862,-8.77,"39.544,-8.862","Trilho do Vale Grande, Serro Ventoso, Porto de Mós, Leiria, 2480-217 SERRO VENTOSO PMS, Portugal",Leiria
